Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AADI,"Aadi Bioscience, Inc.",2.24,USD,-2.81995662,52015,0.63655099,55320313.05856833,USD,,-2.285,USD,3.12049521,0,Health technology,Neutral
AAME,Atlantic American Corporation,1.478,USD,1.93103448,132,0.04851336,30150842.22206897,USD,,-0.3581,USD,-392.8045789,1.37931,Finance,
AASP,Global Acquisitions Corporation,1.7,USD,-31.17408907,4500,2.03123589,16634596,USD,,-0.0991,USD,-834.90566038,0,Finance,
AATC,Autoscope Technologies Corporation,7.8,USD,-0.63694268,6935,1.53565102,42180117,USD,8.7092452,0.8956,USD,22.76901988,7.17949,Technology services,
ABAT,American Battery Technology Company,1.0268,USD,1.66336634,242516,0.17666995,86926838.46653464,USD,,-0.9042,USD,67.71636675,0,Non-energy minerals,
ABBB,"Auburn Bancorp, Inc.",8.57,USD,-11.18526733,359,0.13416047,4310710,USD,,,,,0,Finance,
ABOS,"Acumen Pharmaceuticals, Inc.",1.2,USD,-0.82644628,25923,0.10845137,72095734.21487604,USD,,-1.3708,USD,-23.2290543,0,Health technology,Strong buy
ACCS,ACCESS Newswire Inc.,9.55,USD,-0.52083333,171,0.02018628,36614482.14062501,USD,,-0.3466,USD,-195.71941453,0,Technology services,Strong buy
ACFN,"Acorn Energy, Inc.",16.9,USD,3.42717258,603,0.20095981,42052578.2129743,USD,37.05327779,0.4561,USD,,0,Electronic technology,
ACHL,Achilles Therapeutics plc,1.39,USD,1.45985401,1136169,0.54796625,56307055,USD,,-1.6636,USD,12.22960853,0,Health technology,Sell
ACHV,"Achieve Life Sciences, Inc.",2.9,USD,-0.34364261,9024,0.05249994,99730846.52920961,USD,,-1.1287,USD,46.26517496,0,Health technology,Strong buy
ACOG,Alpha Cognition Inc.,5.88,USD,2.26086957,4630,0.06657847,94196357.53043479,USD,,-2.96,USD,20.14460302,0,Finance,
ACON,"Aclarion, Inc.",6.21,USD,8,1222888,0.11010979,6308651.52,USD,,-760.6074,USD,73.89448367,0,Technology services,Neutral
ADAG,Adagene Inc.,2.1361,USD,3.69417476,3482,0.10557562,91197813,USD,,-0.7287,USD,16.164289,0,Health technology,Buy
ADD,"Color Star Technology Co., Ltd.",1,USD,0,25892,0.07949183,614637,USD,,-0.9722,USD,98.82425645,0,Technology services,
ADGM,"Adagio Medical Holdings, Inc",1.03,USD,-1.9047619,12249,0.05331299,15843011.7047619,USD,,-17.32,USD,-19537.18820862,0,Health technology,
ADN,"Advent Technologies Holdings, Inc.",4.62,USD,-0.43103448,2156,0.19009496,12180666.84051724,USD,,-24.8971,USD,52.7467939,0,Electronic technology,
ADVM,"Adverum Biotechnologies, Inc.",4.41,USD,3.76470588,29013,0.10708844,91738864.16470589,USD,,-6.033,USD,51.9520237,0,Health technology,Strong buy
